transaction_id,date,amount,description
T001,2024-01-10,59.90,Supermercado Central
T002,2024-01-11,120.00,Posto Shell
T003,2024-01-12,3500.00,Salário Mensal
T004,2024-01-15,32.50,Cafeteria Dona Ana
T005,2024-01-20,180.00,Compra Online Mercado Livre
T006,2024-01-22,15.00,Uber viagem
T007,2024-01-25,220.00,Restaurante Sushi House
T008,2024-01-28,98.00,Padaria Pão Doce
T009,2024-02-28,198.00,Netflix
T010,2024-02-27,1098.00,Condominio
T011,2024-02-26,980.00,Medico
T012,2024-02-25,1980.00,Faculdade